id,sentence,flesch_reading_ease,polysyllable_count,coleman_liau_index,freqlemfilms2_mean,freqlemfilms2_median,freqlemfilms2_max,freqlemfilms2_min,freqlemfilms2_25%,freqlemfilms2_75%,freqlemlivres_mean,freqlemlivres_median,freqlemlivres_max,freqlemlivres_min,freqlemlivres_25%,freqlemlivres_75%,freqfilms2_mean,freqfilms2_median,freqfilms2_max,freqfilms2_min,freqfilms2_25%,freqfilms2_75%,nblettres_mean,nblettres_median,nblettres_max,nblettres_min,nblettres_25%,nblettres_75%,nbsyll_mean,nbsyll_median,nbsyll_max,nbsyll_min,nbsyll_25%,nbsyll_75%
200,Les Inuits espèrent pouvoir s'appuyer sur un rapport qui sera remis en septembre 2004 aux huit pays du Conseil de l'Arctique.,82.65,0,10.91,5463.863157894736,835.65,32236.5,16.01,113.61000000000001,5607.075000000001,6137.47894736842,1907.57,38928.92,3.92,116.725,8327.904999999999,3475.1073684210523,202.57,25220.86,2.15,63.665,4869.84,4.052631578947368,3.0,9.0,1.0,2.0,6.0,1.4210526315789473,1.0,2.0,1.0,1.0,2.0
201,On voit grandir une masse d'ouvrier spécialisé de l'informatique qui alimentent les tuyaux de l'information rapide.,58.28,3,17.22,5354.373125,78.26,25220.86,4.05,43.23,8077.4875,7344.7387499999995,75.81,38928.92,2.97,8.11,8339.4225,5092.06,78.26,25220.86,0.2,12.8925,8077.4875,4.125,3.0,10.0,1.0,2.0,6.0,1.5,1.0,4.0,1.0,1.0,2.0
202,Pierre est un jeune garçon de 14 ans.,117.92,0,1.41,10146.750000000002,866.58,32236.5,67.17,274.26,18654.24,9896.061428571427,685.81,38928.92,189.86,415.845,14318.075,8272.604285714286,718.17,25220.86,40.58,211.655,15752.654999999999,3.857142857142857,3.0,6.0,2.0,2.5,5.5,1.1428571428571428,1.0,2.0,1.0,1.0,1.0
203,Tu gagnes de l'argent.,129.34,0,1.45,10063.83,7478.1,25220.86,78.26,240.39499999999998,17301.535,10412.6875,1358.9550000000002,38928.92,3.92,136.64,11635.0025,9992.980000000001,7370.01,25220.86,11.04,61.455000000000005,17301.535,2.75,2.0,6.0,1.0,1.75,3.0,1.0,1.0,1.0,1.0,1.0,1.0
204,"Chaque jour je fixais le lendemain comme l'époque invariable d'une déclaration positive, et chaque lendemain s'écoulait comme la teille.",62.6,6,17.23,3894.6226315789477,78.26,25983.2,0.0,29.29,2326.08,4386.991578947368,149.26,23633.92,0.07,11.115,3429.32,3869.5452631578946,78.26,25983.2,0.0,22.534999999999997,2326.08,5.052631578947368,5.0,11.0,1.0,2.0,7.0,1.631578947368421,1.0,4.0,1.0,1.0,2.5
205,"Son mari, lui, n'aime pas beaucoup la mer",103.2,0,2.86,4773.77875,1183.2150000000001,18188.15,9.67,224.765,5468.174999999999,5275.584999999999,2343.28,23633.92,11.08,224.2425,5720.897499999999,4771.735000000001,1183.2150000000001,18188.15,9.67,216.0625,5468.174999999999,3.375,3.0,8.0,1.0,2.75,3.25,1.25,1.0,2.0,1.0,1.0,1.25
206,"Lundi, je suis resté à la bibliothèque jusqu'à la fermeture.",71.73,2,9.08,7123.125999999998,1547.05,25983.2,2.26,24.13,14257.46,7916.356999999999,871.45,23633.92,0.07,28.53,17122.48,6999.699999999999,931.445,25983.2,2.26,22.667499999999997,14257.46,4.7,4.5,12.0,1.0,2.0,5.0,1.7,1.0,4.0,1.0,1.0,2.0
207,"La Loire à vélo, c'est près de 900 kilomètres de pistes aménagées le long du fleuve.",95.08,2,6.38,6851.847857142857,92.95,25220.86,1.95,22.5425,13287.17,10467.621428571432,228.38,38928.92,4.73,42.585,18984.525,6848.034999999998,83.53999999999999,25220.86,0.01,20.125,13287.17,3.9285714285714284,3.0,10.0,1.0,2.0,5.5,1.4285714285714286,1.0,4.0,1.0,1.0,1.0
208,J'aime bien ce film de 1964 parce que j'aime bien les comédies,106.5,1,5.5,4735.970909090909,4100.9,25220.86,3.49,64.31,4716.4400000000005,5913.331818181819,2535.14,38928.92,0.95,16.32,3137.265,4658.8381818181815,3330.88,25220.86,1.23,64.31,4716.4400000000005,3.3636363636363638,3.0,8.0,1.0,2.0,4.0,1.1818181818181819,1.0,3.0,1.0,1.0,1.0
209,Es-tu prêt?,94.57,0,-7.41,15737.633333333333,14661.76,32236.5,314.64,7488.2,23449.13,5914.593333333333,2537.03,15085.47,121.28,1329.1550000000002,8811.25,5560.3533333333335,1849.07,14661.76,170.23,1009.65,8255.415,2.6666666666666665,2.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
210,Il enlève (ne garde pas) ses chaussures et marche longtemps au bord de l'eau,104.47,0,7.01,6941.177857142857,524.02,25220.86,53.17,86.0425,13144.4675,7690.97,1720.475,38928.92,3.92,122.31,12580.2025,6291.3721428571425,524.02,25220.86,46.61,76.83500000000001,13144.4675,4.071428571428571,3.0,10.0,1.0,2.0,5.75,1.2142857142857142,1.0,2.0,1.0,1.0,1.0
211,"Je suis une fille, je suis française et j'ai treize ans",114.88,0,4.21,7162.447272727272,2090.54,25983.2,7.0,452.93499999999995,10408.465,5062.929999999999,949.12,20879.73,2.91,445.54,10225.369999999999,7077.300909090909,1819.44,25983.2,7.0,345.95000000000005,10408.465,3.727272727272727,3.0,9.0,1.0,2.0,4.5,1.0909090909090908,1.0,2.0,1.0,1.0,1.0
212,Elle s'est formée à l'histoire de l'art à l'âge de 30 ans.,106.5,0,2.13,7320.219090909091,866.58,25220.86,38.31,78.26,12190.4,11280.890909090907,685.81,38928.92,3.92,9.225,19209.05,7303.300909090909,718.17,25220.86,2.0,78.26,12190.4,2.090909090909091,1.0,6.0,1.0,1.0,2.5,1.0909090909090908,1.0,2.0,1.0,1.0,1.0
213,"En effet, Monsieur Helmut Kohl donne priorité aux Allemands de l'Est.",78.08,2,11.06,3395.1220000000003,427.935,25220.86,0.0,56.375,1116.165,5108.2699999999995,258.61,38928.92,0.14,26.4875,1654.6799999999998,3294.7630000000004,250.115,25220.86,0.0,42.56,772.6,4.7,4.5,9.0,1.0,2.25,7.25,1.7,1.0,4.0,1.0,1.0,2.0
214,"Ces chocolats, coulés en forme d'oeufs, de lapins et de poules, sont souvent dispersés dans le jardin pour être retrouvés par les plus jeunes : c'est la ""chasse aux oeufs"".",81.89,3,10.11,5775.143448275861,835.65,32236.5,8.21,47.99,8074.24,7391.272068965519,1547.5,38928.92,2.97,59.46,8732.57,4436.244137931035,725.09,25220.86,0.12,25.88,5689.68,4.344827586206897,4.0,9.0,1.0,2.0,6.0,1.3448275862068966,1.0,3.0,1.0,1.0,1.0
215,Car cela réduit la diversité de notre planète.,66.4,1,7.9,5251.25625,364.88,25220.86,1.02,52.802499999999995,4503.825,8066.503749999999,575.0,38928.92,3.85,43.685,6464.844999999999,5248.1025,364.88,25220.86,1.01,43.5875,4503.825,4.75,4.5,9.0,2.0,2.75,6.25,1.75,1.5,4.0,1.0,1.0,2.0
216,lle vient de lancer une consultation publique sur le sujet.,86.45,1,9.66,5812.271111111111,2520.11,25220.86,4.59,75.22,7907.85,8223.017777777779,1514.53,38928.92,8.24,105.74,9587.97,5533.378888888889,352.24,25220.86,3.61,18.56,7907.85,5.111111111111111,5.0,12.0,2.0,3.0,6.0,1.6666666666666667,1.0,4.0,1.0,1.0,2.0
217,"Sont considérés comme ""arriérés de paiement"" les impayés ou les retards de paiement dans les cas suivants: loyer ou intérêts hypothécaires sur le logement principal, factures d'eau, d'électricité, de gaz et de chauffage, primes d'assurance-maladie, remboursement de crédits et impôts.",26.56,9,16.95,5796.113170731707,66.04,32236.5,0.09,17.79,8720.38,8205.064146341461,60.68,38928.92,0.07,6.49,14662.3,5036.738780487805,54.68,25220.86,0.04,4.96,8720.38,5.097560975609756,4.0,13.0,1.0,2.0,8.0,1.7317073170731707,1.0,4.0,1.0,1.0,2.0
218,C'est génial que tu puisses le rencontrer!,96.86,1,8.24,5474.801428571429,4100.9,14661.76,8.21,187.755,9588.615,3861.0242857142853,2537.03,18310.95,4.73,99.35499999999999,2987.875,4552.198571428571,115.27,14661.76,8.21,48.254999999999995,8491.82,4.428571428571429,3.0,10.0,1.0,2.0,6.5,1.4285714285714286,1.0,3.0,1.0,1.0,1.5
219,Le tableau de Fontana qui était dans les collections du musée depuis 2003 vient d'être dérobée.,73.0,3,10.73,6985.0828571428565,3579.26,32236.5,0.66,51.2525,7919.414999999999,8021.545,4198.345,38928.92,2.97,43.785,13070.744999999999,4664.099285714285,1420.3,25220.86,0.52,42.019999999999996,5173.3825,4.5,4.5,11.0,1.0,2.25,5.75,1.5714285714285714,1.0,3.0,1.0,1.0,2.0
220,Combien de temps duraient les missions des hommes envoyés dans la forêt ?,91.78,0,10.83,5225.160833333334,1077.3,25220.86,34.94,291.43,6721.8775,8281.954166666666,1344.12,38928.92,48.45,111.9925,11634.2725,5117.495,710.8149999999999,25220.86,0.43,24.335,6721.8775,5.0,5.0,8.0,2.0,3.0,7.0,1.5,1.0,3.0,1.0,1.0,2.0
221,"Acheter français, devient un acte écologique car acheter des produits français sous-entendrait acheter des produits qui n'ont pas été fabriqués à l'autre bout du monde, et ainsi faire baisser la pollution en limitant le transport des marchandises, en diminuant leur empreinte carbone",39.25,7,16.2,3930.729534883721,290.7,32236.5,1.79,41.215,5872.695,4538.357906976744,427.5,23633.92,0.88,23.99,8732.57,3016.331162790698,115.27,18188.15,0.07,12.685,5517.33,5.3023255813953485,5.0,12.0,1.0,3.0,8.0,1.744186046511628,1.0,4.0,1.0,1.0,2.0
222,Je vais aller vérifier.,70.46,1,4.35,11519.902500000002,9992.77,25983.2,110.87,7522.295,13990.3775,4153.225,2854.93,10862.77,40.27,2151.265,4856.889999999999,7122.66,1230.875,25983.2,45.69,623.9925000000001,7729.5425,4.75,4.5,8.0,2.0,3.5,5.75,1.75,1.5,3.0,1.0,1.0,2.25
223,"Elle était demeurée jusqu'à douze ans dans la maison, puis, malgré les pleurs de la mère, elle fut mise au Sacré-Coeur.",90.01,2,8.41,6797.948181818181,935.705,32236.5,2.26,102.6525,7704.932499999999,7427.32818181818,960.0699999999999,38928.92,0.07,243.84750000000003,13070.744999999999,3921.3786363636373,621.15,25220.86,0.15,38.1225,4520.53,4.181818181818182,4.0,8.0,2.0,3.0,5.0,1.2727272727272727,1.0,3.0,1.0,1.0,1.0
224,Papa est en voyage jusqu'à demain.,90.51,0,5.27,6456.078333333334,342.43,32236.5,2.26,157.13,4373.7225,4028.2433333333324,137.095,15085.47,0.07,91.4,6584.445,4317.779999999999,342.43,19417.69,2.26,148.89499999999998,4373.7225,4.333333333333333,4.5,6.0,2.0,3.25,5.75,1.5,1.5,2.0,1.0,1.0,2.0
225,"Ils venaient se délasser dans les beaux-arts des inquiétudes de la vente ; mais, n'oubliant point les affaires, ils causaient encore cotons, trois-six ou indigo.",72.24,3,14.22,3460.5107692307693,924.4000000000001,25220.86,0.04,65.9425,4262.71,5203.210384615383,1087.435,38928.92,1.42,75.32000000000001,6056.757500000001,3315.548461538461,283.75,25220.86,0.03,9.7425,4262.71,4.653846153846154,4.0,11.0,1.0,3.0,6.0,1.4230769230769231,1.0,3.0,1.0,1.0,2.0
226,Je sais que tu ne connais pas Paris alors je te propose de venir passer quelques jours chez moi.,99.4,0,6.21,8313.708421052632,3675.68,25983.2,26.61,1011.475,16424.955,5317.362105263157,1514.53,38928.92,12.57,753.445,6055.545,7444.662631578947,2492.92,25983.2,12.68,391.5,14009.395,4.052631578947368,4.0,8.0,2.0,2.0,5.0,1.3157894736842106,1.0,2.0,1.0,1.0,2.0
227,N'essayez pas de tout comprendre dès la première écoute.,102.19,0,10.58,6812.104444444444,893.51,25220.86,9.67,376.98,14946.48,8320.526666666667,672.57,38928.92,11.08,314.05,8795.14,6679.418888888888,214.67,25220.86,9.67,143.72,14946.48,4.333333333333333,3.0,10.0,1.0,2.0,6.0,1.3333333333333333,1.0,2.0,1.0,1.0,2.0
228,"Et vous l'utilisez, un peu, beaucoup ou rarement ?",66.4,2,7.9,5222.93,1239.365,13589.7,14.05,489.065,12292.985,5235.97125,1726.6200000000001,20879.73,3.92,353.97,6018.04,5222.93,1239.365,13589.7,14.05,489.065,12292.985,3.75,2.5,8.0,1.0,2.0,5.0,1.375,1.0,3.0,1.0,1.0,1.25
229,"Cet après-midi, mes amis et moi allons au cinéma.",80.11,2,5.42,3335.8,925.105,12909.08,35.19,523.4125,3722.2325,3377.79,922.3299999999999,20879.73,68.38,389.96500000000003,2610.5899999999997,2336.8819999999996,547.0649999999999,12909.08,35.15,314.4725,3032.3175,3.8,3.5,6.0,2.0,3.0,4.75,1.6,1.5,3.0,1.0,1.0,2.0
230,"Temps de course : soixante-quatorze jours, trois heures, trente-cinq minutes, quarante-six secondes",56.0,3,24.22,2090.052857142857,143.25,25220.86,3.92,32.3025,627.5425,3149.5078571428567,178.82,38928.92,22.09,79.64500000000001,858.1225,1997.2085714285713,139.66500000000002,25220.86,3.92,24.295,359.1975,5.785714285714286,6.0,8.0,2.0,5.0,7.75,1.3571428571428572,1.0,2.0,1.0,1.0,2.0
231,Je voyais de loin la petite masse sombre du rocher entourée d'un halo aveuglant par la lumière et la poussière de mer.,81.63,1,7.78,6645.825454545454,677.5699999999999,25983.2,1.0,26.265,14437.13,8931.471363636363,997.1600000000001,38928.92,2.97,87.8725,18375.489999999998,6422.798636363636,182.18,25983.2,0.35,23.2425,14437.13,4.2272727272727275,3.5,9.0,1.0,2.0,6.0,1.4545454545454546,1.0,3.0,1.0,1.0,2.0
232,"Comment penser les conséquences d'une authentique libération de l'homme dans ses interactions morales, sociales et politiques",50.92,4,21.23,3410.628125,66.47,25220.86,0.92,18.55,2278.75,5452.314375,60.305,38928.92,0.2,28.735,4403.077499999999,3321.7037499999997,66.47,25220.86,0.16,8.0525,1732.9075,6.1875,6.5,12.0,1.0,2.75,10.0,2.0,2.0,4.0,1.0,1.0,3.0
233,Il lui conseille de marcher pendant deux jours.,103.2,0,8.66,5441.57,1035.4650000000001,25220.86,32.11,351.4325,5037.2875,7837.0625,1449.835,38928.92,34.93,419.0075,7126.8775000000005,5324.95,717.855,25220.86,13.4,255.8,5037.2875,4.875,4.5,9.0,2.0,2.75,7.0,1.375,1.0,2.0,1.0,1.0,2.0
234,Il a précisé qu'il partait en vacances dès demain.,80.11,1,6.7,4361.403333333333,425.85,18559.22,9.29,67.9,5689.68,4265.863333333334,275.07,15832.09,1.55,82.57,8732.57,2881.5288888888886,143.72,13222.93,2.48,22.07,5689.68,4.222222222222222,3.0,8.0,1.0,2.0,7.0,1.5555555555555556,1.0,3.0,1.0,1.0,2.0
235,"Au programme, organisez un blind test et un karaoké en classe avec les artistes francophones des années 1960 et d'aujourd'hui.",68.94,4,12.59,4363.660555555555,2010.57,12909.08,0.0,50.5025,8054.2125,6267.576111111111,2187.975,20879.73,0.0,31.3375,12819.2425,4350.408333333334,1945.75,12909.08,0.0,37.192499999999995,8054.2125,4.666666666666667,3.5,12.0,1.0,2.0,6.75,1.6666666666666667,1.0,4.0,1.0,1.0,2.0
236,"Vous eussiez dit deux éclairs bleuâtres, pareils aux épars, non suivis de tonnerre, qui labourent parfois les firmaments sans nuages des chaudes nuits d'été.",79.6,1,14.22,3902.3604166666664,711.095,25220.86,0.09,25.552500000000002,5623.9275,4271.026666666666,843.6800000000001,38928.92,2.09,31.0975,3838.495,2844.007916666667,41.83,25220.86,0.0,4.4475,2619.5525000000002,5.25,5.0,10.0,1.0,3.0,7.0,1.4583333333333333,1.0,3.0,1.0,1.0,2.0
237,"Puis, viennent la bouche et le menton",118.94,0,4.94,6374.9914285714285,2763.82,14946.48,6.58,173.11,13280.92,9359.857142857143,1514.53,23633.92,60.0,559.935,19595.34,5990.741428571428,256.19,14946.48,6.45,82.11500000000001,13280.92,4.285714285714286,4.0,8.0,2.0,2.0,6.0,1.1428571428571428,1.0,2.0,1.0,1.0,1.0
238,"Dès qu'il eut fini son intervention éloquante, il partit fièrement.",64.37,2,13.14,3376.2122222222224,557.61,13572.4,1.45,22.07,1740.43,3128.738888888889,417.97,15832.09,1.55,16.01,4696.15,1716.87,22.07,13222.93,1.45,12.14,292.55,4.888888888888889,3.0,12.0,2.0,3.0,6.0,1.7777777777777777,1.0,4.0,1.0,1.0,2.0
239,J'errais sans cesse devant la porte d'Ellénore.,82.14,1,11.55,2377.118571428571,208.19,14946.48,28.88,59.495000000000005,668.645,3891.9500000000003,617.43,23633.92,2.91,37.464999999999996,1457.23,2370.621428571428,208.19,14946.48,28.86,59.495000000000005,645.915,3.4285714285714284,4.0,6.0,1.0,1.5,5.0,1.1428571428571428,1.0,2.0,1.0,1.0,1.0
240,"Selon effectivement mon état d'esprit du moment, avec l'expérience, le fil du temps, je sais ce que je veux en tous cas",81.63,2,7.25,5085.029999999999,3776.9399999999996,25983.2,13.57,179.4375,5043.5025000000005,3844.468636363637,2155.7749999999996,18310.95,2.97,217.565,6161.7225,4737.444545454545,2489.925,25983.2,13.57,172.755,4394.7,3.5,3.0,13.0,1.0,2.0,4.0,1.3636363636363635,1.0,5.0,1.0,1.0,1.0
241,"On peut encore se promener dans les bois, et admirer toutes les couleurs chaleureuses comme le rouge, l'orange et le jaune",82.65,3,10.04,4717.878095238095,2813.77,13652.76,5.72,82.25,8720.38,6634.781428571428,3171.35,20879.73,3.92,198.72,14662.3,4382.618095238095,1209.64,13652.76,0.47,78.26,8720.38,4.428571428571429,4.0,12.0,1.0,2.0,6.0,1.3333333333333333,1.0,3.0,1.0,1.0,1.0
242,Je t'appelle demain,78.84,0,5.35,8813.336666666666,425.85,25983.2,30.96,228.405,13204.525,3667.32,134.12,10862.77,5.07,69.595,5498.445000000001,8813.333333333334,425.85,25983.2,30.95,228.4,13204.525,3.0,2.0,6.0,1.0,1.5,4.0,1.3333333333333333,1.0,2.0,1.0,1.0,1.5
243,Je ne pourrai pas venir demain avec toi faire du vélo,92.8,0,4.21,8603.769999999999,4394.7,25983.2,35.58,2641.66,13500.815,4954.418181818181,4000.41,13841.89,28.45,982.435,7838.65,6523.279090909092,2735.96,25983.2,32.95,396.49,8875.865,3.909090909090909,4.0,7.0,2.0,2.5,5.0,1.4545454545454546,1.0,2.0,1.0,1.0,2.0
244,Toujours aucune trace du braqueur de la banque.,95.84,0,8.66,5748.006249999999,639.68,25220.86,3.12,74.55749999999999,7032.6449999999995,8853.20875,634.255,38928.92,1.01,67.9225,11070.099999999999,5742.891250000001,639.68,25220.86,1.74,60.392500000000005,7032.6449999999995,4.875,5.5,8.0,2.0,2.0,6.5,1.375,1.0,2.0,1.0,1.0,2.0
245,"Bonjour mademoiselle, qu'est-ce que je vous sers ?",82.14,1,12.36,6233.66625,2335.7349999999997,25983.2,22.07,250.85250000000002,7311.75,2630.7675000000004,1622.4,10862.77,1.55,59.6575,3363.7524999999996,6104.17375,1950.38,25983.2,22.07,66.63,7311.75,4.5,3.5,12.0,2.0,2.0,4.75,1.5,1.0,4.0,1.0,1.0,1.25
246,"Les garçons, vous auriez déçu vos parents, si vous aviez échoué.",92.8,0,8.45,6867.76909090909,1374.43,18559.22,30.62,219.945,13589.7,4440.331818181818,933.99,14662.3,20.61,163.31,8153.985,3480.544545454546,177.04,13589.7,10.09,48.525,5047.405,4.636363636363637,4.0,7.0,2.0,3.5,6.0,1.5454545454545454,2.0,2.0,1.0,1.0,2.0
247,Il faut planter deux arbres pour piéger les rejets liés au voyage aller-retour en avion d'une personne entre Milan et New York.,81.63,1,9.86,2851.8517391304345,138.94,13222.93,0.14,37.730000000000004,4713.715,3441.8243478260865,208.58,20879.73,0.34,26.585,4088.715,2431.3052173913047,138.02,13222.93,0.14,8.455,2527.93,4.3478260869565215,4.0,8.0,1.0,3.0,6.0,1.391304347826087,1.0,2.0,1.0,1.0,2.0
248,Je voudrais remercier ma mère à laquelle je dois tout.,93.81,1,6.76,7691.364,2789.735,25983.2,68.94,779.7525,10455.125,4820.027,1639.665,19209.05,54.46,900.505,8563.8675,6942.914,976.6650000000001,25983.2,38.6,313.92,9729.525,4.4,4.0,9.0,1.0,2.0,7.0,1.4,1.0,3.0,1.0,1.0,1.75
249,Le but: Interdire aux jeunes de certains quartiers de sortir entre minuit (parfois 22 heures) et 6 heures du matin s'ils ne sont pas accompagnés d'un adulte.,76.56,2,9.87,6354.3464,372.72,32236.5,23.34,65.7,12909.08,6746.0568,627.57,38928.92,2.97,101.28,8795.14,4689.7424,285.45,25220.86,1.0,54.68,4394.7,4.68,5.0,11.0,1.0,2.0,6.0,1.48,1.0,4.0,1.0,1.0,2.0
250,"Nous ne voulions pas d'ascenseur, mais un voisin qui loue son appartement en voulait absolument un pour attirer les touristes.",61.58,4,12.88,5712.035000000002,5214.175,22287.83,14.36,71.2475,7489.0075,5196.9575,4165.780000000001,14662.3,2.97,80.18249999999999,8748.2125,4735.7015,3256.275,18188.15,6.01,45.8975,7489.0075,4.75,4.0,11.0,1.0,2.75,7.0,1.6,1.0,4.0,1.0,1.0,2.0
251,"Depuis quelques années, on enregistre une augmentation de la violence chez les jeunes.",76.05,2,13.96,5210.775384615384,483.95,25220.86,6.85,297.01,8586.4,7279.013846153845,680.54,38928.92,3.99,375.54,9587.97,5180.493076923076,483.95,25220.86,5.96,62.12,8586.4,5.538461538461538,6.0,12.0,2.0,3.0,8.0,1.6153846153846154,1.0,4.0,1.0,1.0,2.0
252,Max ira à l'université l'année prochaine.,53.71,1,11.07,3750.983333333333,119.26500000000001,12190.4,5.94,78.26,7534.645,3688.906666666666,31.62,19209.05,2.3,3.92,2156.0275,2100.2733333333335,89.35,12190.4,5.94,78.26,136.365,3.0,2.0,9.0,1.0,1.0,3.0,1.3333333333333333,1.0,2.0,1.0,1.0,1.75
253,Ces derniers sont souvent générés ou amplifiés par une société toujours plus individualiste et ambivalente.,37.22,5,17.68,4226.299999999999,1072.36,32236.5,0.07,39.144999999999996,2907.7349999999997,4008.508,1093.78,20879.73,0.0,35.44,4370.8099999999995,2147.1606666666667,1072.36,12909.08,0.06,21.005000000000003,1668.4850000000001,6.133333333333334,7.0,14.0,2.0,3.0,8.0,2.066666666666667,2.0,5.0,1.0,1.0,3.0
254,"Dans la série Real Humans, des hommes tombent amoureux de leur robot.",99.14,0,8.92,5286.404,765.685,25220.86,22.89,151.7975,5706.43,8385.284,920.135,38928.92,3.18,150.7125,10042.7175,5162.6410000000005,309.985,25220.86,13.08,40.8575,5706.43,4.6,4.5,8.0,2.0,3.25,5.75,1.4,1.0,3.0,1.0,1.0,1.75
255,"Et les étoffes vivaient, dans cette passion du trottoir : les dentelles avaient un frisson, retombaient et cachaient les profondeurs du magasin, d'un air troublant de mystère ; les pièces de drap elles-mêmes, épaisses et carrées, respiraient, soufflaient une haleine tentatrice ; tandis que les paletots se cambraient davantage sur les mannequins qui prenaient une âme, et que le grand manteau de velours se gonflait, souple et tiède, comme sur des épaules de chair, avec les battements de la gorge et le frémissement des reins.",13.37,11,14.18,5144.095185185185,1902.27,25220.86,0.03,19.22,8720.38,7745.727901234567,1466.42,38928.92,1.01,65.54,14662.3,4849.1900000000005,420.51,25220.86,0.0,4.31,8720.38,5.061728395061729,4.0,12.0,1.0,3.0,7.0,1.5061728395061729,1.0,4.0,1.0,1.0,2.0
256,Je crois que vous savez que Christian est malade et que nous ne connaissons pas pour l'instant la durée de son absence.,88.99,0,8.01,9462.456190476189,4516.71,32236.5,6.86,1711.99,14946.48,7809.459999999999,3507.16,38928.92,3.92,947.23,10862.77,8036.891428571429,3330.88,25983.2,6.84,407.94,13589.7,3.8095238095238093,3.0,11.0,1.0,2.0,5.0,1.2857142857142858,1.0,3.0,1.0,1.0,1.0
257,Je porte un pantalon.,92.54,1,1.45,9610.555,6210.735000000001,25983.2,37.55,259.77500000000003,15561.515000000001,6275.66,5740.1,13550.68,71.76,481.01249999999993,11534.747500000001,9597.675,6188.005,25983.2,31.49,224.165,15561.515000000001,4.25,3.5,8.0,2.0,2.0,5.75,1.5,1.0,3.0,1.0,1.0,1.5
258,Jean va tous les jours à la plage,125.28,0,-0.81,6239.429999999999,5834.565,14946.48,6.55,808.4875000000001,10542.1775,8121.299999999999,3013.14,23633.92,10.2,1028.0425,15798.9875,5078.188749999999,2146.4700000000003,14946.48,3.62,331.2725,9587.884999999998,3.25,3.5,5.0,1.0,2.0,4.25,1.0,1.0,1.0,1.0,1.0,1.0
259,"Le départ de Mlle Swann qui - en m'ôtant la chance terrible de la voir apparaître dans une allée, d'être connu et méprisé par la petite fille privilégiée qui avait Bergotte pour ami et allait avec lui visiter des cathédrales - me rendait la contemplation de Tansonville indifférente la première fois où elle m'était permise, semblait au contraire ajouter à cette propriété, aux yeux de mon grand-père et de mon père, des commodités, un agrément passager, et, comme fait, pour une excursion en pays de montagnes, l'absence de tout nuage, rendre cette journée exceptionnellement propice à une promenade de ce côté ; j'aurais voulu que leurs calculs fussent déjoués, qu'un miracle fît apparaître Mlle Swann avec son père, si près de nous que nous n'aurions pas le temps de l'éviter et serions obligés de faire sa connaissance.",-39.42,16,12.56,6017.78572519084,1753.02,32236.5,0.4,69.91,8813.48,7726.019694656487,2307.97,38928.92,1.55,115.305,9587.97,5038.423129770992,899.25,25220.86,0.04,42.735,6055.71,4.511450381679389,4.0,18.0,1.0,2.0,6.0,1.549618320610687,1.0,6.0,1.0,1.0,2.0
260,Ne pas marcher dans l'herbe près du tribunal.,95.84,1,6.45,6268.00125,2379.535,22287.83,37.98,120.1625,8040.9800000000005,4806.03125,3603.8849999999998,13841.89,3.92,218.56750000000002,8420.845,5116.44375,2264.415,18188.15,35.35,83.57000000000001,6833.200000000001,3.875,3.5,8.0,1.0,2.0,4.75,1.375,1.0,3.0,1.0,1.0,1.25
261,Quel rêve le prince a-t-il fait ?,127.31,0,2.37,6899.338749999999,4735.594999999999,18559.22,30.96,143.7875,13330.3875,6596.63125,2797.165,18310.95,5.07,121.74000000000001,13558.63,4601.43375,1704.85,13652.76,30.95,85.75,8068.915,3.0,3.0,6.0,1.0,1.75,4.0,1.0,1.0,1.0,1.0,1.0,1.0
262,"Oui, bien sûr !",130.36,0,-6.26,2788.2299999999996,3207.35,4213.78,943.56,2075.455,3710.5649999999996,1195.2266666666667,637.57,2535.14,412.97,525.27,1586.355,2740.9233333333327,3207.35,4213.78,801.64,2004.495,3710.5649999999996,3.3333333333333335,3.0,4.0,3.0,3.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0
263,"Ce soir, nous regarderons des photos dans l'album familial et nous nous souviendrons des moments agréables.",73.0,3,14.67,3254.965,2927.94,12909.08,15.66,288.5625,4883.865,4226.208125,1978.245,20879.73,3.92,185.20499999999998,4974.9,3123.345625,2607.2200000000003,12909.08,0.14,24.005,4883.865,5.25,4.0,12.0,1.0,3.0,7.25,1.6875,1.0,4.0,1.0,1.0,2.25
264,Sa société a déjà embauché deux développeurs chez Sayna l'an dernier et compte bien renouveler l'expérience en 2019,56.25,5,13.34,3068.197333333333,681.89,18559.22,4.71,78.26,2745.035,3488.5506666666665,680.54,20879.73,3.92,40.81,3133.785,2232.1806666666666,681.89,12909.08,1.98,78.26,2745.035,4.2,4.0,10.0,1.0,2.0,6.5,1.6,1.0,4.0,1.0,1.0,2.0
265,"Cependant, l'observation microscopique a révélé une différence à l'échelle cellulaire.",12.85,6,23.58,3892.6870000000004,67.07000000000001,18559.22,1.04,23.2275,5950.4525,4185.445999999999,52.400000000000006,19209.05,2.03,3.92,7225.91,2668.8459999999995,64.86500000000001,12190.4,0.62,10.912500000000001,4782.7474999999995,5.5,4.5,13.0,1.0,1.0,9.75,2.1,2.0,4.0,1.0,1.0,3.0
